area_id,area_name,ccg_id_model,bakery_thsmon_selng_amt,bakery_thsmon_selng_co,bakery_avg_ticket,market_opportunity_score,bc_female_share_amt,bc_foreign_share_amt,bc_corporate_share_amt,bc_age_cd_1_share_amt,bc_age_cd_2_share_amt,bc_age_cd_3_share_amt,bc_age_cd_4_share_amt,bc_age_cd_5_share_amt,bc_age_cd_6_share_amt,brand_id,brand_name,brand_dna_affinity_score,brand_already_present_in_area,same_brand_nearest_distance_m,bakery_competitor_nearest_m_excl_brand,bakery_competitor_count_500m_excl_brand,bakery_competitor_count_1000m_excl_brand,competition_risk_score,eligible_new_opening,score_brand_fit_first,score_balanced,score_market_first,rank_brand_fit_first,rank_balanced,rank_market_first,robust_rank,pareto_front_da,store_size_recommendation,store_size_note,area_dna_distance,area_dna_fit_score,profile_status,eligible_new_opening_fit_first,scenario,scenario_eligible,fit_first_score,fit_first_rank,area_fit_mean,area_fit_std,relative_brand_advantage_raw,relative_brand_advantage_score,absolute_fit_pass,contrastive_eligible,contrastive_score,contrastive_rank,relative_effect_score,relative_effect_z,risk_pass,same_brand_distance_pass,final_suitability_score,final_rank,profile_area_count,top20_jaccard_mean,top50_jaccard_mean,profile_stability,selected_scenario,model_use_note,absolute_fit_percentile,brand_specificity_percentile,market_opportunity_percentile,low_competition_risk_percentile,structured_evidence,risk_review_flag,store_size_status,context_quality,use_menu_presence_experiment,use_text_embedding_experiment,direct_price_observed,price_tier_status,eligible_candidate_pool_count,available_recommendation_count,recommendation_availability_status,positive_drivers,caution_flags,llm_allowed_facts
3110943,법제교육센터(버들어린이공원),11650,849985150.0,98576.0,8622.637863171563,0.812471131639723,0.7619047619047619,0.2857142857142857,0.7023809523809523,0.6785714285714286,0.8293650793650794,0.7777777777777778,0.42857142857142855,0.08333333333333333,0.5198412698412699,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9780600461893765,False,2292.031413415874,67.35725648954265,25,54,0.6466512702078522,True,0.9283833718244804,0.8952655889145498,0.862147806004619,7.0,15.0,21.0,14.333333333333334,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.49447806412681716,0.9653579676674365,usable_area_profile,True,conservative_fit,True,0.6700461893764436,14.0,0.8574865280985374,0.06302143766630533,1.7116626272487119,0.9515011547344111,True,True,0.8169515011547345,2.0,0.8558313136243559,1.7116626272487119,True,True,0.7385536713622092,1.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.9676674364896074,0.9515011547344111,0.8545034642032333,0.2840646651270208,brand_environment_fit=0.968 | brand_specific_advantage=0.952 | market_opportunity=0.855 | low_competition_risk=0.284,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_environment_fit=0.968 | brand_specific_advantage=0.952 | market_opportunity=0.855,profile_stability_moderate | competition_risk_elevated_but_below_exclusion,positive_drivers=brand_environment_fit=0.968 | brand_specific_advantage=0.952 | market_opportunity=0.855 || caution_flags=profile_stability_moderate | competition_risk_elevated_but_below_exclusion || profile_stability=moderate_profile_stability || available_recommendation_count=20
3130147,쌍문역동측상점가,11320,2520521582.0,295704.0,8523.799414279145,0.8990762124711316,0.7182539682539683,0.11904761904761904,0.6071428571428571,0.25793650793650796,0.3611111111111111,0.24603174603174602,0.19047619047619047,0.4246031746031746,0.9126984126984127,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.03579676674364896,False,7608.334508922631,76.05918750239688,27,48,0.6385681293302541,True,0.29478060046189375,0.46743648960739026,0.6400923787528868,335.0,222.0,119.0,225.33333333333334,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.6968078858662622,0.8083140877598153,usable_area_profile,True,conservative_fit,True,0.6230484988452656,33.0,0.6961123941493456,0.054715264551979156,2.050647009188429,0.9884526558891455,True,True,0.8118129330254041,3.0,1.0,2.050647009188429,True,True,0.7342378752886837,2.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.8106235565819861,0.9930715935334873,0.9399538106235565,0.302540415704388,brand_specific_advantage=0.993 | market_opportunity=0.940 | brand_environment_fit=0.811 | low_competition_risk=0.303,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_specific_advantage=0.993 | market_opportunity=0.940 | brand_environment_fit=0.811,profile_stability_moderate | competition_risk_elevated_but_below_exclusion,positive_drivers=brand_specific_advantage=0.993 | market_opportunity=0.940 | brand_environment_fit=0.811 || caution_flags=profile_stability_moderate | competition_risk_elevated_but_below_exclusion || profile_stability=moderate_profile_stability || available_recommendation_count=20
3120151,보라매공원,11590,648870341.0,67412.0,9625.442665994186,0.7726327944572748,0.8611111111111112,0.5158730158730159,0.42857142857142855,0.753968253968254,0.9563492063492064,0.6626984126984127,0.11507936507936507,0.09523809523809523,0.5674603174603174,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.4792147806004619,False,5082.831494373608,16.492422502230646,17,70,0.7118937644341802,True,0.5672401847575058,0.6259237875288683,0.684607390300231,160.0,112.0,93.0,121.66666666666667,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.36217878850681606,0.9884526558891455,usable_area_profile,True,conservative_fit,True,0.6578637413394919,19.0,0.9259045419553503,0.04022615119855289,1.5549117196189863,0.9422632794457275,True,True,0.7984468822170901,5.0,0.7774558598094932,1.5549117196189863,True,True,0.7117138494789322,3.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.9907621247113164,0.9422632794457275,0.8048498845265589,0.19399538106235567,brand_environment_fit=0.991 | brand_specific_advantage=0.942 | market_opportunity=0.805 | low_competition_risk=0.194,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_environment_fit=0.991 | brand_specific_advantage=0.942 | market_opportunity=0.805,profile_stability_moderate | competition_risk_elevated_but_below_exclusion,positive_drivers=brand_environment_fit=0.991 | brand_specific_advantage=0.942 | market_opportunity=0.805 || caution_flags=profile_stability_moderate | competition_risk_elevated_but_below_exclusion || profile_stability=moderate_profile_stability || available_recommendation_count=20
3130225,개봉중앙시장,11530,344218588.0,30618.0,11242.360310928212,0.6080831408775981,0.8412698412698413,0.8373015873015873,0.5753968253968254,0.5238095238095238,0.7579365079365079,0.7380952380952381,0.18253968253968253,0.12698412698412698,0.7658730158730159,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.41570438799076215,False,10665.247582699703,10.630145801632635,11,31,0.5877598152424942,True,0.4734180138568129,0.5118937644341801,0.5503695150115473,219.0,193.0,180.0,197.33333333333334,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5082992941895126,0.9561200923787528,usable_area_profile,True,conservative_fit,True,0.6027251732101617,46.0,0.8553695150115473,0.05916228831081867,1.7029526788736773,0.9491916859122402,True,True,0.7607736720554272,14.0,0.8514763394368386,1.7029526788736773,True,True,0.6885619255058609,4.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.9584295612009238,0.9491916859122402,0.6166281755196305,0.3856812933025404,brand_environment_fit=0.958 | brand_specific_advantage=0.949 | market_opportunity=0.617 | low_competition_risk=0.386,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_environment_fit=0.958 | brand_specific_advantage=0.949,profile_stability_moderate | competition_risk_moderate,positive_drivers=brand_environment_fit=0.958 | brand_specific_advantage=0.949 || caution_flags=profile_stability_moderate | competition_risk_moderate || profile_stability=moderate_profile_stability || available_recommendation_count=20
3120209,"강남구청(청담역_8번, 강남세무서)",11680,483776692.0,36343.0,13311.413257023361,0.7004618937644341,0.7817460317460317,0.18253968253968253,0.75,0.6468253968253969,0.8531746031746031,0.9206349206349206,0.4365079365079365,0.027777777777777776,0.4880952380952381,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9214780600461894,False,1737.8567259423007,63.65532180510046,17,57,0.5213625866050808,True,0.8551732101616627,0.8109699769053118,0.7667667436489607,30.0,37.0,52.0,39.666666666666664,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.746851899060157,0.7782909930715936,usable_area_profile,True,conservative_fit,True,0.5561027713625866,73.0,0.618841416474211,0.08037678346957473,1.9837765299197312,0.9838337182448037,True,True,0.7589549653579677,15.0,0.9918882649598656,1.9837765299197312,True,True,0.6822676782492043,5.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.7806004618937644,0.9838337182448037,0.7228637413394919,0.47113163972286376,brand_specific_advantage=0.984 | brand_environment_fit=0.781 | market_opportunity=0.723 | low_competition_risk=0.471,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_specific_advantage=0.984 | brand_environment_fit=0.781 | market_opportunity=0.723,profile_stability_moderate | competition_risk_moderate,positive_drivers=brand_specific_advantage=0.984 | brand_environment_fit=0.781 | market_opportunity=0.723 || caution_flags=profile_stability_moderate | competition_risk_moderate || profile_stability=moderate_profile_stability || available_recommendation_count=20
3111090,강일동주민센터,11740,428404856.0,36116.0,11861.913168678702,0.6680138568129331,0.8452380952380952,0.06746031746031746,0.7063492063492064,0.38492063492063494,0.6626984126984127,0.7182539682539683,0.5833333333333334,0.06746031746031746,0.6507936507936508,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.7575057736720554,False,9922.732335395305,59.13543778863246,4,13,0.31177829099307164,True,0.7306581986143187,0.7127598152424943,0.6948614318706697,79.0,74.0,82.0,78.33333333333333,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.7324799223876617,0.7829099307159353,usable_area_profile,True,conservative_fit,True,0.5784930715935335,61.0,0.6291377983063895,0.08289762773977448,1.854964208291398,0.9699769053117783,True,True,0.7765011547344112,10.0,0.927482104145699,1.854964208291398,True,True,0.680860133426725,6.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.7852193995381063,0.9699769053117783,0.6859122401847575,0.792147806004619,brand_specific_advantage=0.970 | low_competition_risk=0.792 | brand_environment_fit=0.785 | market_opportunity=0.686,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_specific_advantage=0.970 | low_competition_risk=0.792 | brand_environment_fit=0.785,profile_stability_moderate,positive_drivers=brand_specific_advantage=0.970 | low_competition_risk=0.792 | brand_environment_fit=0.785 || caution_flags=profile_stability_moderate || profile_stability=moderate_profile_stability || available_recommendation_count=20
3120188,압구정역,11680,1784647410.0,134975.0,13222.058973884052,0.9404157043879908,0.7817460317460317,0.18253968253968253,0.75,0.6468253968253969,0.8531746031746031,0.9206349206349206,0.4365079365079365,0.027777777777777776,0.4880952380952381,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9214780600461894,False,791.0935469567722,98.31073190628577,25,97,0.5323325635103926,True,0.9271593533487297,0.9309468822170901,0.9347344110854503,9.0,4.0,7.0,6.666666666666667,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.4268908830610167,0.9815242494226328,usable_area_profile,True,conservative_fit,True,0.7400577367205543,1.0,0.9592956120092379,0.027451419670695573,0.8097445480068952,0.76905311778291,True,True,0.804353348729792,4.0,0.4048722740034476,0.8097445480068952,True,True,0.6756984380158735,7.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.9838337182448037,0.76905311778291,0.9745958429561201,0.45958429561200925,brand_environment_fit=0.984 | market_opportunity=0.975 | brand_specific_advantage=0.769 | low_competition_risk=0.460,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_environment_fit=0.984 | market_opportunity=0.975 | brand_specific_advantage=0.769,profile_stability_moderate | competition_risk_moderate | same_brand_distance_750m_to_1000m_review,positive_drivers=brand_environment_fit=0.984 | market_opportunity=0.975 | brand_specific_advantage=0.769 || caution_flags=profile_stability_moderate | competition_risk_moderate | same_brand_distance_750m_to_1000m_review || profile_stability=moderate_profile_stability || available_recommendation_count=20
3110690,오류2동버들시장,11530,236340399.0,20521.0,11517.002046683885,0.5033487297921478,0.8412698412698413,0.8373015873015873,0.5753968253968254,0.5238095238095238,0.7579365079365079,0.7380952380952381,0.18253968253968253,0.12698412698412698,0.7658730158730159,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.41570438799076215,False,11626.899887772835,56.612719422528826,14,25,0.47921478060046185,True,0.4419976905311779,0.459526558891455,0.4770554272517321,239.0,225.0,223.0,229.0,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5607224690887508,0.9284064665127021,usable_area_profile,True,conservative_fit,True,0.5684930715935335,68.0,0.8571016166281754,0.039805398718689856,1.7913361548881273,0.9630484988452656,True,True,0.7428637413394921,19.0,0.8956680774440636,1.7913361548881273,True,True,0.6731953103540875,8.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.930715935334873,0.9630484988452656,0.49191685912240185,0.5300230946882217,brand_specific_advantage=0.963 | brand_environment_fit=0.931 | low_competition_risk=0.530 | market_opportunity=0.492,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_specific_advantage=0.963 | brand_environment_fit=0.931,profile_stability_moderate | competition_risk_moderate,positive_drivers=brand_specific_advantage=0.963 | brand_environment_fit=0.931 || caution_flags=profile_stability_moderate | competition_risk_moderate || profile_stability=moderate_profile_stability || available_recommendation_count=20
3120234,가락시장역,11710,130218275.0,11603.0,11222.8109109713,0.3446882217090069,0.8531746031746031,0.13095238095238096,0.6746031746031746,0.9325396825396826,0.8928571428571429,0.7063492063492064,0.4087301587301587,0.03968253968253968,0.5436507936507936,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.812933025404157,False,2901.622304866944,41.10960960294269,15,44,0.5715935334872979,True,0.672459584295612,0.578810623556582,0.4851616628175519,107.0,152.0,215.0,158.0,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.4973116870970327,0.9630484988452656,usable_area_profile,True,conservative_fit,True,0.5164260969976905,102.0,0.8201501154734411,0.06797065669118905,2.102354020515859,0.9930715935334873,True,True,0.703810623556582,37.0,1.0,2.102354020515859,True,True,0.6642321016166282,9.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.9653579676674365,0.9930715935334873,0.325635103926097,0.41570438799076215,brand_specific_advantage=0.993 | brand_environment_fit=0.965 | low_competition_risk=0.416 | market_opportunity=0.326,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_specific_advantage=0.993 | brand_environment_fit=0.965,profile_stability_moderate | competition_risk_moderate,positive_drivers=brand_specific_advantage=0.993 | brand_environment_fit=0.965 || caution_flags=profile_stability_moderate | competition_risk_moderate || profile_stability=moderate_profile_stability || available_recommendation_count=20
3120066,장한평역(장한평),11230,274354373.0,24121.0,11374.087848762489,0.5446882217090069,0.6904761904761905,0.5396825396825397,0.5714285714285714,0.9603174603174603,0.9126984126984127,0.4087301587301587,0.1865079365079365,0.09126984126984126,0.6825396825396826,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.31524249422632794,False,2050.1963320255477,70.34912932850425,9,28,0.3146651270207852,True,0.38407621247113155,0.42996535796766744,0.4758545034642032,277.0,249.0,227.0,251.0,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5701159170652009,0.9145496535796767,usable_area_profile,True,conservative_fit,True,0.600715935334873,48.0,0.8251539645881447,0.05832407008066144,1.5327409227082207,0.9399538106235565,True,True,0.7665531177829099,13.0,0.7663704613541104,1.5327409227082207,True,True,0.6621180194955715,10.0,11,0.4653759401850119,0.6132688584014039,moderate_profile_stability,conservative_fit,상권 환경 프로필이 보통 안정성이므로 절대 적합도를 더 엄격히 보는 보수 시나리오를 사용,0.9168591224018475,0.9399538106235565,0.5473441108545035,0.7875288683602771,brand_specific_advantage=0.940 | brand_environment_fit=0.917 | low_competition_risk=0.788 | market_opportunity=0.547,profile_stability_moderate__confirm_local_site_conditions,not_recommended__no_store_area_seat_or_store_outcome_data,rich,True,True,False,not_observable_from_current_official_html,70,20,top20_available,brand_specific_advantage=0.940 | brand_environment_fit=0.917 | low_competition_risk=0.788,profile_stability_moderate,positive_drivers=brand_specific_advantage=0.940 | brand_environment_fit=0.917 | low_competition_risk=0.788 || caution_flags=profile_stability_moderate || profile_stability=moderate_profile_stability || available_recommendation_count=20
